0,0,3.3379e-08
0.012579,0.00065066,0.0007732
0.025158,0.0027367,0.0023707
0.037737,0.0064161,0.0052264
0.050316,0.011875,0.0092838
0.062895,0.019202,0.014664
0.075474,0.028287,0.021529
0.088053,0.039073,0.029722
0.10063,0.05162,0.039398
0.11321,0.06609,0.05042
0.12579,0.082366,0.062871
0.13837,0.10013,0.076744
0.15095,0.11951,0.091982
0.16353,0.14064,0.10832
0.17611,0.16307,0.12598
0.18868,0.18651,0.14481
0.20126,0.21124,0.16445
0.21384,0.23719,0.1851
0.22642,0.26423,0.20676
0.239,0.29276,0.22948
0.25158,0.32338,0.25343
0.26416,0.35628,0.27886
0.27674,0.39104,0.3059
0.28932,0.42711,0.33431
0.30189,0.46411,0.36383
0.31447,0.5021,0.39429
0.32705,0.54145,0.42564
0.33963,0.58242,0.45803
0.35221,0.62509,0.49174
0.36479,0.66973,0.52683
0.37737,0.71643,0.5633
0.38995,0.76479,0.60133
0.40253,0.81452,0.64069
0.41511,0.86554,0.68113
0.42768,0.91791,0.72283
0.44026,0.97188,0.76545
0.45284,1.0273,0.80943
0.46542,1.0843,0.85459
0.478,1.143,0.90086
0.49058,1.2032,0.94859
0.50316,1.2648,0.99734
0.51574,1.3277,1.0473
0.52832,1.3917,1.0982
0.54089,1.457,1.1502
0.55347,1.5237,1.2031
0.56605,1.5917,1.2572
0.57863,1.6607,1.3121
0.59121,1.7304,1.3679
0.60379,1.801,1.4244
0.61637,1.8729,1.4817
0.62895,1.9458,1.5396
0.64153,2.0194,1.5986
0.65411,2.0935,1.6579
0.66668,2.1682,1.718
0.67926,2.2439,1.7786
0.69184,2.321,1.8399
0.70442,2.3992,1.9021
0.717,2.4782,1.9652
0.72958,2.5579,2.029
0.74216,2.6389,2.0937
0.75474,2.7216,2.1591
0.76732,2.8057,2.2259
0.77989,2.8913,2.2938
0.79247,2.9783,2.3628
0.80505,3.0663,2.4329
0.81763,3.1554,2.5038
0.83021,3.2457,2.5758
0.84279,3.3375,2.6486
0.85537,3.4305,2.7226
0.86795,3.5246,2.7974
0.88053,3.6197,2.8733
0.89311,3.7158,2.9499
0.90568,3.8131,3.0273
0.91826,3.9115,3.1057
0.93084,4.0107,3.1848
0.94342,4.1107,3.2647
0.956,4.2114,3.3452
0.96858,4.3127,3.426
0.98116,4.4143,3.5076
0.99374,4.5165,3.5894
1.0063,4.6195,3.6719
1.0189,4.7239,3.755
1.0315,4.8293,3.8388
1.0441,4.9356,3.9236
1.0566,5.042,4.0088
1.0692,5.15,4.0949
1.0818,5.2581,4.1813
1.0944,5.3664,4.2683
1.1069,5.4744,4.3552
1.1195,5.5838,4.4427
1.1321,5.6939,4.5307
1.1447,5.8047,4.619
1.1573,5.9162,4.7081
1.1698,6.0272,4.7974
1.1824,6.1394,4.8872
1.195,6.2521,4.9773
1.2076,6.3651,5.0676
1.2202,6.4779,5.1582
1.2327,6.5897,5.2488
1.2453,6.703,5.3395
1.2579,6.8174,5.4307
1.2705,6.9328,5.5225
1.2831,7.0488,5.615
1.2956,7.1641,5.7079
1.3082,7.2806,5.8012
1.3208,7.3973,5.8946
1.3334,7.5149,5.9885
1.3459,7.6323,6.0828
1.3585,7.7512,6.1777
1.3711,7.8708,6.2732
1.3837,7.9912,6.3691
1.3963,8.1122,6.4656
1.4088,8.2323,6.5624
1.4214,8.353,6.6593
1.434,8.4735,6.7561
1.4466,8.594,6.8529
1.4592,8.7147,6.9496
1.4717,8.835,7.0466
1.4843,8.9564,7.1437
1.4969,9.0776,7.2409
1.5095,9.1984,7.3381
1.5221,9.3189,7.4349
1.5346,9.4381,7.5316
1.5472,9.5582,7.6281
1.5598,9.6782,7.7245
1.5724,9.7986,7.8209
1.5849,9.918,7.9173
1.5975,10.038,8.0139
1.6101,10.159,8.1106
1.6227,10.28,8.2073
1.6353,10.401,8.3042
1.6478,10.52,8.4011
1.6604,10.641,8.4976
1.673,10.761,8.5942
1.6856,10.881,8.6907
1.6982,11.002,8.7874
1.7107,11.122,8.8841
1.7233,11.243,8.9808
1.7359,11.363,9.0779
1.7485,11.484,9.1747
1.7611,11.605,9.2714
1.7736,11.723,9.3677
1.7862,11.842,9.4636
1.7988,11.96,9.5588
1.8114,12.078,9.6538
1.8239,12.194,9.7482
1.8365,12.311,9.8425
1.8491,12.428,9.9364
1.8617,12.544,10.03
1.8743,12.66,10.123
1.8868,12.775,10.216
1.8994,12.891,10.309
1.912,13.007,10.403
1.9246,13.123,10.496
1.9372,13.238,10.589
1.9497,13.352,10.681
1.9623,13.466,10.773
1.9749,13.58,10.864
1.9875,13.693,10.956
2.0001,13.807,11.047
2.0126,13.919,11.138
2.0252,14.033,11.229
2.0378,14.146,11.32
2.0504,14.258,11.41
2.0629,14.368,11.5
2.0755,14.478,11.589
2.0881,14.587,11.678
2.1007,14.696,11.766
2.1133,14.804,11.853
2.1258,14.911,11.94
