0,5.0623,0,0,0
0.012579,11.384,0.10344,0.00065059,0.00033369
0.025158,8.4511,0.2282,0.0027364,-0.0011592
0.037737,11.991,0.35677,0.0064155,-0.00054758
0.050316,12.543,0.51107,0.011874,-0.0070421
0.062895,10.166,0.6539,0.019201,-0.012635
0.075474,11.536,0.79039,0.028285,-0.0052961
0.088053,9.7797,0.92446,0.03907,-0.0094325
0.10063,13.444,1.0705,0.051615,0.0010989
0.11321,11.878,1.2298,0.066084,-0.025724
0.12579,8.4492,1.3576,0.082359,-0.021731
0.13837,8.9543,1.4671,0.10013,0.021109
0.15095,14.219,1.6129,0.1195,0.032827
0.16353,7.0504,1.7467,0.14063,-0.044635
0.17611,4.3737,1.8185,0.16306,0.04887
0.18868,10.297,1.9107,0.18649,0.14119
0.20126,7.2491,2.0211,0.21123,0.050373
0.21384,5.8689,2.1036,0.23717,0.086001
0.22642,8.7019,2.1952,0.26421,0.13725
0.239,14.302,2.3399,0.29274,0.076671
0.25158,15.671,2.5285,0.32336,-0.12364
0.26416,11.666,2.7004,0.35625,-0.2519
0.27674,8.1976,2.8254,0.391,-0.1577
0.28932,5.2668,2.9101,0.42708,0.016729
0.30189,5.1424,2.9755,0.46407,0.21053
0.31447,8.9569,3.0642,0.50206,0.29418
0.32705,11.174,3.1908,0.5414,0.14499
0.33963,9.6767,3.3219,0.58237,-0.027715
0.35221,12.519,3.4616,0.62504,-0.015752
0.36479,15.044,3.6349,0.66967,-0.17362
0.37737,9.3944,3.7886,0.71637,-0.38901
0.38995,8.1997,3.8993,0.76473,-0.11421
0.40253,8.8363,4.0065,0.81445,0.074744
0.41511,6.638,4.1038,0.86547,0.10444
0.42768,13.102,4.2279,0.91783,0.27896
0.44026,6.5614,4.3516,0.9718,-0.15411
0.45284,10.495,4.4588,1.0272,0.20714
0.46542,13.09,4.6072,1.0842,0.014771
0.478,6.0005,4.7273,1.143,-0.29058
0.49058,11.117,4.8349,1.2031,0.24539
0.50316,7.7773,4.9538,1.2647,-0.038045
0.51574,6.8573,5.0458,1.3276,0.18604
0.52832,7.2878,5.1348,1.3916,0.36898
0.54089,10.69,5.2478,1.4569,0.39353
0.55347,6.9345,5.3587,1.5236,0.021602
0.56605,8.2794,5.4544,1.5916,0.31385
0.57863,1.0541,5.5131,1.6606,0.26515
0.59121,7.5916,5.5674,1.7303,1.1456
0.60379,6.7231,5.6575,1.8009,0.64439
0.61637,10.119,5.7634,1.8727,0.56655
0.62895,-0.070561,5.8266,1.9456,0.070751
0.64153,6.8862,5.8695,2.0192,1.3215
0.65411,0.97752,5.919,2.0933,0.78785
0.66668,6.8555,5.9682,2.168,1.4702
0.67926,9.2301,6.0694,2.2438,0.8235
0.69184,7.631,6.1754,2.3208,0.1983
0.70442,4.5428,6.252,2.3989,0.22035
0.717,4.3154,6.3077,2.4779,0.74714
0.72958,5.7541,6.3711,2.5577,0.98751
0.74216,15.364,6.5039,2.6387,0.82482
0.75474,5.3895,6.6344,2.7213,-0.9799
0.76732,11.603,6.7413,2.8055,0.18683
0.77989,9.1541,6.8718,2.891,-0.55249
0.79247,4.6279,6.9585,2.978,-0.35601
0.80505,7.8427,7.0369,3.066,0.62179
0.81763,6.3894,7.1264,3.1551,0.33665
0.83021,10.824,7.2347,3.2455,0.53185
0.84279,7.2591,7.3484,3.3372,-0.34009
0.85537,7.6161,7.442,3.4302,0.10659
0.86795,4.2295,7.5165,3.5243,0.19614
0.88053,8.034,7.5937,3.6193,0.99888
0.89311,7.9124,7.694,3.7155,0.42078
0.90568,6.2703,7.7831,3.8128,0.23137
0.91826,5.1775,7.8551,3.9111,0.55536
0.93084,4.9797,7.919,4.0104,0.94557
0.94342,3.6802,7.9735,4.1103,1.1419
0.956,6.3892,8.0368,4.211,1.5465
0.96858,-2.5136,8.0612,4.3123,0.9969
0.98116,7.0892,8.09,4.4139,3.1369
0.99374,4.5456,8.1631,4.5161,1.3659
1.0063,7.1463,8.2366,4.6191,1.3949
1.0189,8.6112,8.3358,4.7235,0.68512
1.0315,0.059778,8.3905,4.8289,0.0067369
1.0441,12.657,8.4706,4.9351,2.1985
1.0566,1.0405,8.5562,5.0415,-0.64016
1.0692,2.9774,8.5815,5.1495,1.7235
1.0818,-2.7897,8.5827,5.2576,2.0273
1.0944,6.7538,8.6077,5.3659,3.8916
1.1069,1.8072,8.6612,5.4739,1.6487
1.1195,4.5718,8.7014,5.5832,2.3566
1.1321,6.8873,8.7736,5.6933,1.7454
1.1447,1.1919,8.8245,5.8042,0.77475
1.1573,4.6381,8.8612,5.9156,2.2646
1.1698,0.88898,8.8957,6.0266,1.6844
1.1824,2.73,8.9185,6.1388,2.7187
1.195,4.4507,8.9638,6.2515,2.4817
1.2076,-3.2256,8.9715,6.3645,1.8057
1.2202,-2.7277,8.934,6.4773,4.2089
1.2327,4.834,8.9471,6.589,4.9268
1.2453,8.7415,9.0327,6.7023,2.5175
1.2579,6.9925,9.1318,6.8167,0.22594
1.2705,1.3561,9.1844,6.9321,0.0093855
1.2831,4.2618,9.2198,7.0481,1.9903
1.2956,-1.6979,9.2358,7.1634,1.6499
1.3082,3.22,9.2454,7.2799,3.7492
1.3208,3.532,9.2879,7.3966,2.6707
1.3334,8.2208,9.362,7.5141,2.1531
1.3459,1.3088,9.4215,7.6315,0.15822
1.3585,3.9611,9.4547,7.7504,2.1057
1.3711,6.3676,9.5198,7.87,1.785
1.3837,4.7621,9.5899,7.9904,0.7146
1.3963,-0.53705,9.6165,8.1114,0.96063
1.4088,-3.0884,9.5939,8.2314,3.1854
1.4214,-0.67983,9.5701,8.3522,5.0418
1.434,-1.6886,9.5552,8.4727,4.739
1.4466,3.401,9.566,8.5931,5.0442
1.4592,1.879,9.5993,8.7139,3.0371
1.4717,3.6259,9.6337,8.8341,2.9374
1.4843,-2.9448,9.638,8.9555,2.1616
1.4969,-3.3626,9.5982,9.0767,4.6775
1.5095,-0.67977,9.5728,9.1974,5.7817
1.5221,-2.8892,9.5503,9.3179,5.0266
1.5346,-0.85911,9.5269,9.4372,5.7121
1.5472,0.17161,9.5225,9.5572,5.0728
1.5598,2.1477,9.5371,9.6772,4.3827
1.5724,1.3936,9.5594,9.7975,3.2503
1.5849,-2.7211,9.5511,9.917,3.1727
1.5975,3.1609,9.5539,10.037,4.9992
1.6101,3.6565,9.5969,10.158,3.0001
1.6227,-1.6014,9.6098,10.279,2.0413
1.6353,-5.5704,9.5646,10.4,4.1052
1.6478,1.3279,9.5381,10.519,6.695
1.6604,-0.22747,9.545,10.639,4.4366
1.673,2.6636,9.5604,10.76,4.3373
1.6856,-3.4095,9.5557,10.88,2.9418
1.6982,4.3409,9.5616,11.001,5.3024
1.7107,1.86,9.6003,11.12,2.4817
1.7233,-3.2351,9.5917,11.241,2.6361
1.7359,3.097,9.5908,11.362,5.1398
1.7485,-4.1301,9.5843,11.483,2.9975
