0,0,-0.001
0.016,-1.0728e-05,-0.002
0.048,-9.4025e-05,-0.003
0.064,-0.00016281,-0.004
0.079,-0.00023491,-0.005
0.097,-0.00031957,-0.006
0.114,-0.00039223,-0.007
0.13,-0.00045155,-0.008
0.148,-0.00050701,-0.009
0.165,-0.00055554,-0.01
0.181,-0.00061075,-0.011
0.198,-0.00068384,-0.012
0.214,-0.00075609,-0.013
0.232,-0.00083844,-0.014
0.249,-0.00092493,-0.015
0.267,-0.0010281,-0.016
0.282,-0.0011232,-0.017
0.298,-0.0012345,-0.018
0.316,-0.0013709,-0.019
0.331,-0.0014897,-0.02
0.349,-0.0016306,-0.021
0.364,-0.0017461,-0.022
0.382,-0.0018878,-0.023
0.398,-0.0020229,-0.024
0.415,-0.0021832,-0.025
0.433,-0.0023754,-0.026
0.448,-0.0025483,-0.027
0.466,-0.00276,-0.028
0.484,-0.002978,-0.029
0.501,-0.0031942,-0.03
0.519,-0.0034355,-0.031
0.521,-0.0034632,-0.032
0.537,-0.0036813,-0.033
0.555,-0.0039144,-0.034
0.573,-0.0041348,-0.035
0.59,-0.0043419,-0.036
0.608,-0.0045794,-0.037
0.625,-0.0048301,-0.038
0.643,-0.0051163,-0.039
0.661,-0.0054112,-0.04
0.676,-0.0056617,-0.041
0.692,-0.0059406,-0.042
0.708,-0.0062347,-0.043
0.724,-0.0065351,-0.044
0.742,-0.0068683,-0.045
0.759,-0.0071842,-0.046
0.777,-0.0075344,-0.047
0.792,-0.0078387,-0.048
0.808,-0.0081713,-0.049
0.826,-0.0085592,-0.05
0.843,-0.0089411,-0.051
0.861,-0.0093522,-0.052
0.876,-0.0096971,-0.053
0.892,-0.010072,-0.054
0.909,-0.010482,-0.055
0.924,-0.010855,-0.056
0.942,-0.011312,-0.057
0.959,-0.011748,-0.058
0.977,-0.012222,-0.059
0.993,-0.012658,-0.06
1.008,-0.013074,-0.061
1.025,-0.013549,-0.062
1.04,-0.013969,-0.063
1.058,-0.014486,-0.064
1.074,-0.014959,-0.065
1.091,-0.015468,-0.066
1.109,-0.016012,-0.067
1.124,-0.016472,-0.068
1.142,-0.017022,-0.069
1.16,-0.017565,-0.07
1.177,-0.018079,-0.071
1.193,-0.018576,-0.072
1.208,-0.019054,-0.073
1.225,-0.019608,-0.074
1.241,-0.020142,-0.075
1.258,-0.02072,-0.076
1.274,-0.021272,-0.077
1.291,-0.021873,-0.078
1.309,-0.022525,-0.079
1.327,-0.023189,-0.08
1.344,-0.023823,-0.081
1.36,-0.024426,-0.082
1.375,-0.025,-0.083
1.392,-0.025663,-0.084
1.408,-0.026296,-0.085
1.425,-0.026962,-0.086
1.443,-0.027653,-0.087
1.46,-0.028295,-0.088
1.476,-0.028892,-0.089
1.492,-0.029486,-0.09
1.508,-0.030082,-0.091
1.524,-0.030683,-0.092
1.541,-0.031327,-0.093
1.559,-0.032023,-0.094
1.577,-0.032744,-0.095
1.594,-0.033446,-0.096
1.61,-0.034116,-0.097
