0,-0.03944,0,0
0.017,-0.05916,-0.0008381,-7.1239e-06
0.033,-0,-0.0013114,-2.432e-05
0.05,0.00986,-0.0012276,-4.5901e-05
0.069,-0.03944,-0.0015086,-7.1894e-05
0.087,-0.01972,-0.002041,-0.00010384
0.102,-0.02958,-0.0024108,-0.00013723
0.118,-0.05916,-0.0031207,-0.00018148
0.134,0.01972,-0.0034362,-0.00023394
0.168,0.02958,-0.0025981,-0.00033652
0.186,-0.02958,-0.0025981,-0.00038329
0.204,-0.03944,-0.0032193,-0.00043564
0.221,-0.0493,-0.0039736,-0.00049678
0.239,0.00986,-0.0043285,-0.0005715
0.257,0.00986,-0.0041511,-0.00064782
0.274,0.01972,-0.0038996,-0.00071625
0.293,-0.00986,-0.003806,-0.00078945
0.31,-0.0493,-0.0043088,-0.00085843
0.326,-0.01972,-0.004861,-0.00093178
0.344,-0.01972,-0.0052159,-0.0010225
0.361,-0,-0.0053836,-0.0011126
0.363,-0.03944,-0.005423,-0.0011234
0.38,-0.0493,-0.0061773,-0.001222
0.397,-0.05916,-0.0070992,-0.0013348
0.416,-0.03944,-0.0080359,-0.0014786
0.434,-0.00986,-0.0084796,-0.0016273
0.467,-0,-0.0086423,-0.0019098
0.484,-0.05916,-0.0091451,-0.002061
0.502,-0.06902,-0.010299,-0.002236
0.52,0.01972,-0.010742,-0.0024253
0.535,0.01972,-0.010447,-0.0025842
0.551,-0.00986,-0.010368,-0.0027508
0.568,-0.00986,-0.010535,-0.0029284
0.586,-0.0493,-0.011068,-0.0031229
0.604,-0.07888,-0.012221,-0.0033325
0.619,0.01972,-0.012665,-0.0035191
0.635,0.01972,-0.01235,-0.0037192
0.651,0.02958,-0.011955,-0.0039137
0.685,-0.02958,-0.011955,-0.0043202
0.702,-0.02958,-0.012458,-0.0045277
0.72,-0.02958,-0.012991,-0.0047567
0.735,-0,-0.013212,-0.0049532
0.751,-0.02958,-0.013449,-0.0051665
0.768,0.01972,-0.013533,-0.0053959
0.783,-0.00986,-0.013459,-0.0055983
0.799,-0.00986,-0.013617,-0.0058149
0.816,-0.01972,-0.013868,-0.0060485
0.836,-0.00986,-0.014164,-0.0063289
0.854,-0,-0.014253,-0.0065846
0.869,0,-0.014253,-0.0067984
0.885,-0.01972,-0.01441,-0.0070277
0.902,-0.0493,-0.014997,-0.0072777
0.918,0.02958,-0.015155,-0.0075189
0.934,0.01972,-0.01476,-0.0077582
0.949,-0.0493,-0.014982,-0.0079813
0.984,-0.05916,-0.01688,-0.0085389
1.002,-0.02958,-0.017679,-0.0088499
1.018,0.00986,-0.017837,-0.009134
1.034,-0.00986,-0.017837,-0.0094194
1.05,-0.00986,-0.017994,-0.0097061
1.068,-0.0493,-0.018527,-0.010035
1.086,-0.05916,-0.019503,-0.010377
1.102,-0.01972,-0.020134,-0.010694
1.117,-0.01972,-0.02043,-0.010998
1.133,0.00986,-0.020509,-0.011326
1.15,0.00986,-0.020341,-0.011673
1.166,-0.00986,-0.020341,-0.011999
1.184,-0.03944,-0.020785,-0.012369
1.217,-0.0493,-0.022249,-0.013079
1.234,-0.00986,-0.022752,-0.013461
1.252,-0.02958,-0.023107,-0.013874
