17717.31 0.0171 -0.0044 0.0151 -0.0073 0.0008 0.0075
17717.348 0.0313 -0.0107 0.0518 -0.0141 0.0012 0.0012
17717.4 0.0269 -0.0161 0.0610 -0.0180 0.0115 0.0015
17717.449 0.0264 -0.0215 0.0674 -0.0067 0.0052 0.0048
17717.5 0.0415 -0.0083 0.1167 -0.0035 0.0037 0.0085
17717.569 0.0352 -0.0098 0.1309 -0.0074 -0.0008 0.0026
17717.593 0.0493 -0.0161 0.1733 -0.0185 0.0048 -0.0004
17717.654 0.0361 -0.0303 0.1758 -0.0153 -0.0048 0.0052
17717.703 0.0396 -0.0278 0.1821 -0.0111 -0.0064 0.0051
17717.755 0.0635 -0.0361 0.1836 -0.0045 -0.0041 0.0031
17717.805 0.0728 -0.0435 0.2114 -0.0070 -0.0148 0.0159
17717.846 0.0850 -0.0557 0.2227 -0.0072 -0.0101 0.0200
17717.915 0.0815 -0.0610 0.2144 -0.0044 -0.0150 0.0170
17717.956 0.0781 -0.0664 0.2275 -0.0050 -0.0209 0.0150
17718.007 0.0737 -0.0679 0.2339 -0.0156 -0.0134 0.0187
17718.059 0.0801 -0.0674 0.2412 -0.0091 -0.0087 0.0157
17718.101 0.0718 -0.0786 0.2700 -0.0106 -0.0055 0.0266
17718.152 0.0762 -0.0811 0.2988 -0.0093 -0.0047 0.0303
17718.201 0.0737 -0.0659 0.3022 0.0020 -0.0048 0.0230
17718.252 0.0869 -0.0576 0.3213 0.0024 -0.0159 0.0286
17718.301 0.1060 -0.0591 0.3228 0.0142 -0.0160 0.0242
17718.351 0.0996 -0.0713 0.3174 0.0164 -0.0205 0.0150
17718.403 0.0894 -0.0786 0.3267 0.0144 -0.0230 0.0254
17718.454 0.0908 -0.0762 0.3438 0.0157 -0.0245 0.0172
17718.499 0.0913 -0.0630 0.3491 0.0075 -0.0290 0.0228
17718.56 0.1064 -0.0586 0.3398 0.0102 -0.0238 0.0193
17718.605 0.1011 -0.0562 0.3491 0.0001 -0.0154 0.0187
17718.656 0.1016 -0.0410 0.3652 0.0005 -0.0064 0.0148
17718.704 0.1060 -0.0435 0.3921 0.0037 -0.0166 0.0237
17718.755 0.1230 -0.0527 0.3809 -0.0069 -0.0143 0.0284
17718.806 0.1235 -0.0571 0.3813 -0.0066 -0.0230 0.0282
17718.859 0.1299 -0.0469 0.4043 -0.0110 -0.0203 0.0358
17718.908 0.1362 -0.0386 0.4204 -0.0054 -0.0281 0.0380
17718.959 0.1367 -0.0342 0.4297 -0.0041 -0.0320 0.0389
17719.011 0.1421 -0.0298 0.4409 -0.0042 -0.0255 0.0363
17719.061 0.1279 -0.0156 0.4551 -0.0038 -0.0208 0.0338
17719.105 0.1284 -0.0181 0.4878 0.0013 -0.0267 0.0347
